"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2021","561.82","561.82","561.82","561.82","","0.40%"
"08/12/2021","559.60","559.60","559.60","559.60","","-0.48%"
"08/11/2021","562.28","562.28","562.28","562.28","","-0.66%"
"08/10/2021","566.03","566.03","566.03","566.03","","-0.21%"
"08/09/2021","567.21","567.21","567.21","567.21","","1.88%"
"08/06/2021","556.75","556.75","556.75","556.75","","-0.02%"
"08/05/2021","556.85","556.85","556.85","556.85","","0.62%"
"08/04/2021","553.42","553.42","553.42","553.42","","0.04%"
"08/03/2021","553.22","553.22","553.22","553.22","","1.84%"
"08/02/2021","543.25","543.25","543.25","543.25","","0.29%"
"07/30/2021","541.70","541.70","541.70","541.70","","1.06%"
"07/29/2021","536.02","536.02","536.02","536.02","","0.87%"
"07/28/2021","531.42","531.42","531.42","531.42","","-0.19%"
"07/27/2021","532.41","532.41","532.41","532.41","","0.41%"
"07/26/2021","530.25","530.25","530.25","530.25","","0.94%"
"07/23/2021","525.29","525.29","525.29","525.29","","-2.17%"
"07/22/2021","536.94","536.94","536.94","536.94","","1.67%"
"07/21/2021","528.12","528.12","528.12","528.12","","-0.12%"
"07/20/2021","528.76","528.76","528.76","528.76","","2.44%"
"07/19/2021","516.18","516.18","516.18","516.18","","-3.40%"
"07/16/2021","534.36","534.36","534.36","534.36","","0.85%"
"07/15/2021","529.87","529.87","529.87","529.87","","0.84%"
"07/14/2021","525.44","525.44","525.44","525.44","","-0.35%"
"07/13/2021","527.26","527.26","527.26","527.26","","-0.16%"
"07/12/2021","528.08","528.08","528.08","528.08","","-2.61%"
"07/09/2021","542.25","542.25","542.25","542.25","","-2.99%"
"07/08/2021","558.94","558.94","558.94","558.94","","-1.76%"
"07/07/2021","568.97","568.97","568.97","568.97","","3.35%"
"07/06/2021","550.54","550.54","550.54","550.54","","-3.55%"
"07/05/2021","570.82","570.82","570.82","570.82","","-1.68%"
"07/02/2021","580.57","580.57","580.57","580.57","","-0.29%"
"07/01/2021","582.28","582.28","582.28","582.28","","0.71%"
"06/30/2021","578.19","578.19","578.19","578.19","","0.03%"
"06/29/2021","578.04","578.04","578.04","578.04","","0.85%"
"06/28/2021","573.18","573.18","573.18","573.18","","1.29%"
"06/25/2021","565.87","565.87","565.87","565.87","","0.96%"
"06/24/2021","560.50","560.50","560.50","560.50","","0.09%"
"06/23/2021","560.00","560.00","560.00","560.00","","-0.67%"
"06/22/2021","563.76","563.76","563.76","563.76","","0.41%"
"06/21/2021","561.45","561.45","561.45","561.45","","-0.37%"
"06/18/2021","563.52","563.52","563.52","563.52","","1.41%"
"06/17/2021","555.67","555.67","555.67","555.67","","-0.48%"
"06/16/2021","558.37","558.37","558.37","558.37","","-1.61%"
"06/15/2021","567.52","567.52","567.52","567.52","","0.57%"
"06/14/2021","564.28","564.28","564.28","564.28","","1.42%"
"06/11/2021","556.36","556.36","556.36","556.36","","2.09%"
"06/10/2021","544.99","544.99","544.99","544.99","","-0.38%"
"06/09/2021","547.08","547.08","547.08","547.08","","0.75%"
"06/08/2021","543.03","543.03","543.03","543.03","","-2.56%"
"06/07/2021","557.27","557.27","557.27","557.27","","-0.42%"
"06/04/2021","559.62","559.62","559.62","559.62","","0.80%"
"06/03/2021","555.20","555.20","555.20","555.20","","1.10%"
"06/02/2021","549.18","549.18","549.18","549.18","","-0.54%"
"06/01/2021","552.14","552.14","552.14","552.14","","1.22%"
"05/31/2021","545.47","545.47","545.47","545.47","","0.30%"
